Voltage,AC_Geyser_Load,Fridge_WashingMachine_Load,Microwave_Oven_Load,Fan_Light_Load,AC_Current,Fridge_Current,Fan_Current
234.84,17.0,1.0,0.0,52.27,4.83,0.3,14.06
233.63,16.0,1.0,0.0,72.33,4.57,0.3,19.55
233.29,17.0,2.0,0.0,70.57,4.86,0.61,19.1
233.74,17.0,1.0,0.0,71.8,4.85,0.3,19.4
235.68,17.0,1.0,0.0,43.1,4.81,0.3,11.55
235.02,17.0,2.0,0.0,39.67,4.82,0.6,10.66
235.09,17.0,1.0,0.0,43.7,4.82,0.3,11.74
235.22,17.0,1.0,0.0,43.67,4.82,0.3,11.72
233.99,17.0,1.0,0.0,43.13,4.84,0.3,11.64
233.86,16.0,2.0,0.0,43.03,4.56,0.6,11.62
232.86,17.0,1.0,0.0,56.13,4.87,0.3,15.22
232.78,17.0,1.0,0.0,72.2,4.87,0.3,19.59
232.99,16.0,1.0,0.0,70.07,4.58,0.3,18.99
232.91,17.0,2.0,0.0,68.8,4.87,0.61,18.66
235.24,17.0,1.0,0.0,49.57,4.82,0.3,13.31
237.14,17.0,0.0,0.0,39.4,4.78,0.0,10.49
236.73,17.0,0.0,0.0,37.5,4.79,0.0,10.0
237.06,17.0,0.0,0.0,40.17,4.78,0.0,10.7
237.13,18.0,0.0,0.0,36.43,5.06,0.0,9.7
235.84,17.0,0.0,0.0,45.13,4.81,0.0,12.09
232.69,16.0,0.0,0.0,82.23,4.58,0.0,22.32
230.98,17.0,0.0,0.0,111.43,4.91,0.0,30.47
232.21,16.0,0.0,0.0,101.1,4.59,0.0,27.5
234.19,17.0,0.0,0.0,69.23,4.84,0.0,18.67
234.96,17.0,0.0,0.0,57.57,4.82,0.0,15.47
236.66,17.0,0.0,0.0,37.13,4.79,0.0,9.91
235.84,17.0,0.0,0.0,36.93,4.81,0.0,9.89
235.6,17.0,0.0,0.0,36.8,4.81,0.0,9.87
235.49,17.0,0.0,0.0,37.3,4.81,0.0,10.0
235.28,17.0,0.0,0.0,35.97,4.82,0.0,9.65
235.06,17.0,0.0,0.0,28.33,4.82,0.0,7.61
234.17,17.0,0.0,0.0,45.63,4.84,0.0,12.31
233.77,16.0,0.0,0.0,56.37,4.56,0.0,15.23
233.62,17.0,0.0,0.0,58.2,4.85,0.0,15.73
234.68,17.0,0.0,0.0,50.63,4.83,0.0,13.63
236.94,17.0,0.0,0.0,24.2,4.78,0.0,6.45
237.52,18.0,0.0,0.0,28.5,5.05,0.0,7.58
238.2,17.0,0.0,0.0,26.73,4.76,0.0,7.09
238.28,17.0,0.0,0.0,29.2,4.76,0.0,7.74
236.93,18.0,16.0,0.0,28.33,5.06,4.77,7.55
235.01,16.0,37.0,0.0,29.13,4.54,11.11,7.83
232.93,17.0,37.0,0.0,46.87,4.87,11.21,12.71
232.12,17.0,36.0,0.0,59.53,4.88,10.95,16.2
231.85,16.0,37.0,0.0,54.9,4.6,11.26,14.96
232.25,17.0,36.0,0.0,52.13,4.88,10.94,14.18
234.66,16.0,37.0,0.0,21.4,4.55,11.13,5.76
236.2,18.0,22.0,0.0,16.6,5.08,6.57,4.44
237.07,17.0,12.0,0.0,22.5,4.78,3.57,5.99
235.78,17.0,27.0,0.0,18.17,4.81,8.08,4.87
237.43,17.0,1.0,0.0,20.47,4.77,0.3,5.44
237.26,17.0,1.0,0.0,21.8,4.78,0.3,5.8
234.25,17.0,20.0,0.0,39.63,4.84,6.03,10.69
234.2,17.0,9.0,0.0,49.4,4.84,2.71,13.32
234.31,17.0,1.0,0.0,52.03,4.84,0.3,14.03
233.29,16.0,1.0,0.0,57.53,4.57,0.3,15.58
235.61,17.0,1.0,0.0,29.53,4.81,0.3,7.92
235.25,17.0,1.0,0.0,30.8,4.82,0.3,8.27
236.04,17.0,2.0,0.0,30.0,4.8,0.6,8.03
235.51,17.0,1.0,0.0,30.9,4.81,0.3,8.29
235.68,17.0,1.0,0.0,30.77,4.81,0.3,8.24
235.2,17.0,1.0,0.0,39.53,4.82,0.3,10.62
233.74,17.0,1.0,0.0,63.17,4.85,0.3,17.07
233.84,17.0,1.0,0.0,63.13,4.85,0.3,17.05
233.79,17.0,1.0,0.0,63.1,4.85,0.3,17.05
235.5,17.0,1.0,0.0,34.93,4.81,0.3,9.37
235.84,17.0,1.0,0.0,30.67,4.81,0.3,8.21
236.15,17.0,1.0,0.0,30.83,4.8,0.3,8.25
235.81,17.0,1.0,0.0,30.53,4.81,0.3,8.18
235.41,17.0,1.0,0.0,25.47,4.81,0.3,6.83
234.82,17.0,0.0,0.0,28.23,4.83,0.0,7.59
233.76,16.0,1.0,0.0,41.97,4.56,0.3,11.34
232.48,17.0,27.0,0.0,57.2,4.87,8.2,15.54
233.54,17.0,1.0,0.0,57.6,4.85,0.3,15.58
232.32,16.0,1.0,0.0,56.47,4.59,0.3,15.35
234.02,17.0,1.0,0.0,30.53,4.84,0.3,8.24
234.76,17.0,1.0,0.0,20.77,4.83,0.3,5.59
234.67,17.0,1.0,0.0,19.73,4.83,0.3,5.31
235.27,17.0,1.0,0.0,19.83,4.82,0.3,5.32
235.12,17.0,1.0,0.0,19.63,4.82,0.3,5.27
235.8,17.0,1.0,0.0,18.47,4.81,0.3,4.95
234.81,17.0,1.0,0.0,31.63,4.83,0.3,8.51
234.38,17.0,1.0,0.0,52.0,4.84,0.3,14.01
234.2,16.0,1.0,0.0,53.07,4.55,0.3,14.31
233.98,17.0,1.0,0.0,52.3,4.84,0.3,14.12
234.99,17.0,2.0,0.0,27.43,4.82,0.6,7.37
234.67,17.0,4.0,0.0,21.33,4.83,1.2,5.74
233.92,17.0,3.0,0.0,21.6,4.84,0.91,5.83
233.51,16.0,1.0,0.0,21.93,4.57,0.3,5.93
233.44,17.0,0.0,0.0,21.7,4.85,0.0,5.87
233.64,17.0,1.0,0.0,22.8,4.85,0.3,6.16
232.39,16.0,1.0,0.0,54.63,4.59,0.3,14.85
232.25,17.0,1.0,0.0,52.5,4.88,0.3,14.28
232.32,16.0,2.0,0.0,52.5,4.59,0.61,14.27
232.79,17.0,1.0,0.0,47.4,4.87,0.3,12.86
232.09,17.0,1.0,0.0,52.3,4.88,0.3,14.23
231.96,16.0,1.0,0.0,53.4,4.6,0.3,14.54
231.99,17.0,1.0,0.0,49.83,4.89,0.3,13.57
232.36,16.0,2.0,0.0,42.2,4.59,0.61,11.47
232.71,17.0,1.0,0.0,39.63,4.87,0.3,10.76
232.01,16.0,1.0,0.0,40.23,4.6,0.3,10.95
232.78,17.0,1.0,0.0,38.1,4.87,0.3,10.34
233.08,16.0,2.0,0.0,38.73,4.58,0.61,10.5
233.69,17.0,0.0,0.0,39.37,4.85,0.0,10.64
234.44,17.0,4.0,0.0,39.27,4.83,1.2,10.58
234.6,17.0,3.0,0.0,37.93,4.83,0.9,10.21
235.12,17.0,0.0,0.0,39.57,4.82,0.0,10.63
234.28,17.0,1.0,0.0,38.67,4.84,0.3,10.42
234.19,17.0,1.0,0.0,38.9,4.84,0.3,10.49
234.69,16.0,1.0,0.0,40.2,4.55,0.3,10.82
234.26,17.0,2.0,0.0,37.97,4.84,0.6,10.24
233.3,17.0,1.0,0.0,38.53,4.86,0.3,10.43
233.43,17.0,1.0,0.0,38.57,4.86,0.3,10.43
233.45,16.0,1.0,0.0,39.57,4.57,0.3,10.7
233.91,17.0,2.0,0.0,37.77,4.85,0.6,10.2
234.43,17.0,1.0,0.0,39.0,4.83,0.3,10.51
234.34,17.0,1.0,0.0,38.97,4.84,0.3,10.5
234.58,17.0,1.0,0.0,39.03,4.83,0.3,10.51
234.02,16.0,1.0,0.0,38.53,4.56,0.3,10.4
234.29,17.0,1.0,0.0,37.27,4.84,0.3,10.05
234.36,17.0,2.0,0.0,36.57,4.84,0.6,9.85
232.64,17.0,0.0,0.0,37.37,4.87,0.0,10.14
232.96,16.0,3.0,0.0,38.93,4.58,0.91,10.56
233.47,17.0,5.0,0.0,38.33,4.85,1.51,10.37
234.98,17.0,5.0,0.0,38.17,4.82,1.5,10.26
234.34,17.0,5.0,0.0,38.77,4.84,1.51,10.45
233.92,17.0,5.0,0.0,38.23,4.84,1.51,10.32
233.94,16.0,2.0,0.0,38.8,4.56,0.6,10.48
233.72,17.0,1.0,0.0,38.47,4.85,0.3,10.39
233.2,17.0,2.0,0.0,37.2,4.86,0.61,10.07
233.1,16.0,1.0,0.0,39.17,4.58,0.3,10.61
232.29,17.0,1.0,0.0,37.7,4.88,0.3,10.25
232.45,16.0,2.0,0.0,36.73,4.59,0.61,9.98
231.97,17.0,1.0,0.0,36.6,4.89,0.3,9.96
232.42,17.0,2.0,0.0,37.37,4.88,0.61,10.15
233.38,16.0,1.0,0.0,39.97,4.57,0.3,10.82
232.69,17.0,1.0,0.0,38.6,4.87,0.3,10.48
233.2,16.0,2.0,0.0,38.77,4.57,0.61,10.5
233.26,17.0,1.0,0.0,38.77,4.86,0.3,10.5
232.84,17.0,1.0,0.0,38.53,4.87,0.3,10.45
232.39,16.0,2.0,0.0,38.3,4.59,0.61,10.41
232.14,17.0,1.0,0.0,38.13,4.88,0.3,10.37
231.57,16.0,1.0,0.0,38.83,4.61,0.3,10.59
231.66,17.0,2.0,0.0,36.87,4.89,0.61,10.05
232.22,16.0,1.0,0.0,39.07,4.59,0.3,10.63
232.81,17.0,1.0,0.0,38.33,4.87,0.3,10.4
233.77,17.0,1.0,0.0,38.73,4.85,0.3,10.46
232.82,16.0,2.0,0.0,38.3,4.58,0.61,10.39
233.22,17.0,1.0,0.0,38.47,4.86,0.3,10.42
232.84,17.0,1.0,0.0,38.27,4.87,0.3,10.38
232.75,16.0,0.0,0.0,38.23,4.58,0.0,10.37
232.64,17.0,0.0,0.0,36.57,4.87,0.0,9.93
232.2,16.0,0.0,0.0,37.37,4.59,0.0,10.16
232.2,17.0,0.0,0.0,36.37,4.88,0.0,9.89
232.58,16.0,0.0,0.0,37.53,4.59,0.0,10.19
232.4,17.0,0.0,0.0,36.43,4.88,0.0,9.9
232.66,17.0,0.0,0.0,36.57,4.87,0.0,9.93
232.43,16.0,0.0,0.0,37.43,4.59,0.0,10.17
233.02,17.0,0.0,0.0,36.7,4.86,0.0,9.95
232.8,16.0,0.0,0.0,37.6,4.58,0.0,10.2
232.79,17.0,0.0,0.0,36.6,4.87,0.0,9.93
231.98,16.0,0.0,0.0,37.23,4.6,0.0,10.14
232.88,17.0,0.0,0.0,37.63,4.87,0.0,10.21
232.52,17.0,0.0,0.0,37.7,4.87,0.0,10.24
232.87,16.0,0.0,0.0,38.87,4.58,0.0,10.54
233.78,17.0,0.0,0.0,38.27,4.85,0.0,10.34
233.69,17.0,0.0,0.0,39.17,4.85,0.0,10.59
234.04,17.0,0.0,0.0,40.0,4.84,0.0,10.79
233.93,16.0,0.0,0.0,40.83,4.56,0.0,11.02
233.62,17.0,0.0,0.0,39.67,4.85,0.0,10.72
233.64,17.0,0.0,0.0,39.67,4.85,0.0,10.72
233.26,16.0,0.0,0.0,40.47,4.57,0.0,10.96
233.9,17.0,0.0,0.0,39.17,4.85,0.0,10.58
233.68,17.0,0.0,0.0,38.53,4.85,0.0,10.41
232.83,17.0,0.0,0.0,38.17,4.87,0.0,10.35
233.0,16.0,0.0,0.0,39.2,4.58,0.0,10.63
233.08,17.0,0.0,0.0,38.23,4.86,0.0,10.36
232.69,16.0,0.0,0.0,39.03,4.58,0.0,10.59
232.91,17.0,0.0,0.0,38.03,4.87,0.0,10.31
232.87,17.0,0.0,0.0,38.0,4.87,0.0,10.31
232.42,16.0,0.0,0.0,38.83,4.59,0.0,10.55
232.31,17.0,0.0,0.0,37.77,4.88,0.0,10.27
232.79,16.0,0.0,0.0,37.83,4.58,0.0,10.26
233.05,17.0,0.0,0.0,36.63,4.86,0.0,9.93
234.57,17.0,0.0,0.0,37.3,4.83,0.0,10.04
234.79,17.0,0.0,0.0,37.4,4.83,0.0,10.06
234.6,17.0,0.0,0.0,37.33,4.83,0.0,10.05
234.54,17.0,0.0,0.0,37.37,4.83,0.0,10.06
234.6,16.0,0.0,0.0,38.4,4.55,0.0,10.34
233.77,17.0,0.0,0.0,36.97,4.85,0.0,9.99
233.5,17.0,0.0,0.0,36.8,4.85,0.0,9.95
233.27,17.0,0.0,0.0,36.7,4.86,0.0,9.94
233.37,16.0,0.0,0.0,37.77,4.57,0.0,10.22
232.64,17.0,0.0,0.0,36.43,4.87,0.0,9.89
231.95,16.0,0.0,0.0,37.13,4.6,0.0,10.11
232.21,17.0,0.0,0.0,36.27,4.88,0.0,9.86
232.5,16.0,0.0,0.0,37.4,4.59,0.0,10.16
233.63,17.0,0.0,0.0,36.87,4.85,0.0,9.97
234.43,17.0,0.0,0.0,37.23,4.83,0.0,10.03
234.63,17.0,0.0,0.0,39.27,4.83,0.0,10.57
235.05,17.0,0.0,0.0,39.2,4.82,0.0,10.53
234.96,17.0,0.0,0.0,39.1,4.82,0.0,10.51
235.77,17.0,0.0,0.0,39.43,4.81,0.0,10.56
236.76,17.0,0.0,0.0,41.27,4.79,0.0,11.01
234.59,17.0,0.0,0.0,40.1,4.83,0.0,10.8
235.13,17.0,0.0,0.0,40.33,4.82,0.0,10.83
235.14,17.0,0.0,0.0,40.33,4.82,0.0,10.83
235.75,17.0,0.0,0.0,40.57,4.81,0.0,10.87
235.69,17.0,0.0,0.0,40.5,4.81,0.0,10.85
236.86,17.0,0.0,0.0,41.0,4.78,0.0,10.93
236.72,17.0,0.0,0.0,40.9,4.79,0.0,10.91
236.05,17.0,0.0,0.0,40.6,4.8,0.0,10.86
237.54,17.0,0.0,0.0,13.53,4.77,0.0,3.6
237.44,18.0,0.0,0.0,16.07,5.05,0.0,4.27
237.0,17.0,0.0,0.0,38.9,4.78,0.0,10.37
235.55,17.0,0.0,0.0,37.7,4.81,0.0,10.11
236.51,17.0,0.0,0.0,38.13,4.79,0.0,10.18
236.76,17.0,0.0,0.0,38.23,4.79,0.0,10.2
237.11,17.0,0.0,0.0,38.1,4.78,0.0,10.15
238.72,18.0,0.0,0.0,10.2,5.03,0.0,2.7
237.66,17.0,0.0,0.0,38.7,4.77,0.0,10.28
238.2,17.0,0.0,0.0,38.9,4.76,0.0,10.31
237.46,18.0,0.0,0.0,37.57,5.05,0.0,9.99
237.36,17.0,0.0,0.0,38.5,4.77,0.0,10.24
238.13,17.0,0.0,0.0,28.67,4.76,0.0,7.6
237.74,18.0,0.0,0.0,18.47,5.05,0.0,4.91
237.26,17.0,0.0,0.0,38.5,4.78,0.0,10.25
237.69,17.0,0.0,0.0,38.67,4.77,0.0,10.27
236.44,17.0,0.0,0.0,38.1,4.79,0.0,10.18
236.23,17.0,0.0,0.0,33.73,4.8,0.0,9.02
237.7,18.0,0.0,0.0,11.43,5.05,0.0,3.04
235.73,17.0,0.0,0.0,39.27,4.81,0.0,10.52
236.51,17.0,0.0,0.0,39.9,4.79,0.0,10.65
237.11,17.0,0.0,0.0,40.1,4.78,0.0,10.68
237.06,17.0,0.0,0.0,40.0,4.78,0.0,10.66
238.63,18.0,0.0,0.0,13.27,5.03,0.0,3.51
237.58,17.0,0.0,0.0,40.37,4.77,0.0,10.73
236.87,17.0,0.0,0.0,39.9,4.78,0.0,10.64
236.94,17.0,0.0,0.0,39.87,4.78,0.0,10.63
238.17,18.0,0.0,0.0,24.37,5.04,0.0,6.46
237.42,17.0,0.0,0.0,30.0,4.77,0.0,7.98
236.91,17.0,0.0,0.0,39.83,4.78,0.0,10.62
236.24,17.0,0.0,0.0,39.53,4.8,0.0,10.57
